,label,blue,green,red,nir,swir1,swir2
1,blt,9314.0,9799.0,9927.0,14757.0,13800.0,11761.0
2,blt,9313.0,9799.0,10069.0,13824.0,13526.0,12236.0
3,blt,9467.0,9798.0,10212.0,12101.0,12704.0,11761.0
4,blt,10162.0,10511.0,11140.0,12415.0,12978.0,12237.0
5,blt,9929.0,10431.0,11140.0,13354.0,15445.0,13946.0
6,blt,9387.0,9637.0,9853.0,12885.0,12888.0,11476.0
7,blt,9386.0,9636.0,9780.0,13668.0,12979.0,11571.0
8,blt,8996.0,9476.0,9636.0,14915.0,13070.0,11000.0
9,blt,9850.0,10192.0,10639.0,14915.0,13711.0,11952.0
10,blt,10312.0,10902.0,11566.0,13825.0,14624.0,13473.0
11,blt,9925.0,10269.0,10854.0,13355.0,14168.0,13283.0
12,blt,9848.0,10349.0,10854.0,14137.0,14625.0,12999.0
13,blt,9614.0,10190.0,10353.0,14294.0,14077.0,12238.0
14,blt,9303.0,9792.0,10280.0,14605.0,14078.0,12429.0
15,blt,9690.0,10110.0,10566.0,13670.0,13529.0,11858.0
16,blt,9457.0,10029.0,10352.0,13356.0,13438.0,12144.0
17,blt,9458.0,9951.0,10065.0,14294.0,13437.0,11668.0
18,blt,9769.0,10348.0,10424.0,14138.0,13803.0,12048.0
19,blt,9227.0,9714.0,9994.0,14605.0,13894.0,12428.0
20,blt,9073.0,9475.0,9564.0,14915.0,14077.0,11572.0
21,blt,8919.0,9397.0,9132.0,16620.0,12979.0,10526.0
22,blt,9464.0,9717.0,10067.0,14759.0,13345.0,11381.0
23,blt,9311.0,9718.0,9925.0,13198.0,12063.0,10905.0
24,blt,9234.0,9479.0,9926.0,14447.0,13161.0,11285.0
25,blt,9390.0,9877.0,10212.0,14913.0,14622.0,12616.0
26,blt,9313.0,9719.0,9926.0,14600.0,13617.0,11475.0
27,blt,9392.0,9720.0,9926.0,14600.0,13799.0,12044.0
28,blt,9237.0,9562.0,9641.0,15377.0,13616.0,11189.0
29,blt,9317.0,9643.0,9856.0,15841.0,13341.0,11189.0
30,blt,9396.0,9801.0,9999.0,15685.0,13616.0,11379.0
31,blt,9241.0,9645.0,9857.0,15685.0,13341.0,10903.0
32,blt,9166.0,9724.0,9786.0,15375.0,13066.0,10523.0
33,blt,9554.0,10200.0,10430.0,15374.0,13797.0,11947.0
34,blt,9401.0,9885.0,10217.0,14286.0,14161.0,12137.0
35,blt,9402.0,9648.0,9717.0,13038.0,13340.0,11852.0
36,blt,9788.0,10439.0,10717.0,14906.0,14525.0,12707.0
37,blt,10020.0,10912.0,11357.0,16453.0,14708.0,11851.0
38,blt,10021.0,10833.0,11499.0,15371.0,14798.0,13465.0
39,blt,9638.0,10047.0,10718.0,14440.0,14069.0,12231.0
40,blt,9253.0,9573.0,9720.0,13818.0,12973.0,11377.0
41,blt,9564.0,9969.0,10292.0,13350.0,12791.0,11662.0
42,blt,9641.0,10128.0,10505.0,14128.0,13886.0,12325.0
43,blt,9334.0,9734.0,10007.0,14283.0,13063.0,10901.0
44,blt,9104.0,9339.0,9364.0,15986.0,12516.0,9951.0
45,blt,9183.0,9657.0,9652.0,16601.0,14249.0,11376.0
46,blt,9416.0,9973.0,10223.0,15521.0,15159.0,12798.0
47,blt,9647.0,9974.0,10508.0,13816.0,14430.0,12513.0
